row.ID;study.ID;continent;taxon;taxon.specific;taxon.arthropod.order;taxon.mammal.group;taxon.forest.generalist;metric;metric.specific;disturbance;disturbance.specific;matrix;distance.p.d;time;effect.direction;p.mean;p.sd;p.n;d.mean;d.sd;d.n;hedges.g*
577;20;AS;p;trees;;;;ric;Number of families;shd;Cacao plantation with diverse natural shade;nat;0.3;NA;p;27;03.apr;4;14.mars;03.juni;4;3.153992422
578;20;AS;p;trees;;;;ric;Number of families;shd;Cacao plantation with diverse planted shade;nat;0.3;NA;p;27;03.apr;4;13.mai;04.mai;4;2.943534236
579;20;AS;p;trees;;;;ric;Number of families;shd;Cacao plantation with simple planted shade;nat;0.3;NA;p;27;03.apr;4;06.aug;03.mars;4;5.242764551
580;20;AS;p;trees;;;;ric;Species richness (observed);shd;Cacao plantation with diverse natural shade;nat;0.3;NA;p;55.8;05.mai;4;20.aug;07.aug;4;4.509722831
581;20;AS;p;trees;;;;ric;Species richness (observed);shd;Cacao plantation with diverse planted shade;nat;0.3;NA;p;55.8;05.mai;4;19;07.mai;4;4.865829896
582;20;AS;p;trees;;;;ric;Species richness (observed);shd;Cacao plantation with simple planted shade;nat;0.3;NA;p;55.8;05.mai;4;9;04.mai;4;8.098737479
583;21;CA;b;;;;;abu;Mean number of birds per census point;agr;Citrus agricultural plots (2-10 ha);pas;NA;NA;p;15.mai;12.aug;50;50.7;07.jan;4;-2.765946013
584;21;CA;b;;;;;abu;Mean number of birds per census point;agr;Allspice agricultural plots (2-10 ha);pas;NA;NA;p;15.mai;12.aug;50;37.4;17.mai;4;-1.645390836
585;21;CA;b;;;;;abu;Mean number of birds per census point;agr;Jalapeno agricultural plots (2-10 ha);pas;NA;NA;p;15.mai;12.aug;50;19.mai;04.apr;4;-0.316117233
586;21;CA;b;;;;;abu;Mean number of birds per census point;agr;Corn agricultural plots (2-10 ha);pas;NA;NA;p;15.mai;12.aug;50;53.8;06.mars;4;-3.015471855
587;21;CA;b;;;;;abu;Mean number of birds per census point;agr;Banana agricultural plots (2-10 ha);pas;NA;NA;p;15.mai;12.aug;50;04.feb;0.1;4;0.896254019
588;21;CA;b;;;;;ric;Mean number of species per census point;agr;Citrus agricultural plots (2-10 ha);pas;NA;NA;p;04.sep;02.sep;50;03.aug;1;4;0.383692264
589;21;CA;b;;;;;ric;Mean number of species per census point;agr;Allspice agricultural plots (2-10 ha);pas;NA;NA;p;04.sep;02.sep;50;3;0.7;4;0.663965986
590;21;CA;b;;;;;ric;Mean number of species per census point;agr;Jalapeno agricultural plots (2-10 ha);pas;NA;NA;p;04.sep;02.sep;50;01.feb;0.2;4;1.295101947
591;21;CA;b;;;;;ric;Mean number of species per census point;agr;Corn agricultural plots (2-10 ha);pas;NA;NA;p;04.sep;02.sep;50;01.feb;0.9;4;1.291488291
592;21;CA;b;;;;;ric;Mean number of species per census point;agr;Banana agricultural plots (2-10 ha);pas;NA;NA;p;04.sep;02.sep;50;0.5;0.2;4;1.540121234
593;21;CA;b;;;;;abu;Mean number of birds per census point;dis;Live fence;pas;NA;NA;p;15.mai;12.aug;50;93;02.apr;4;-6.140281703
594;21;CA;b;;;;;abu;Mean number of birds per census point;dis;Disturbed forest;pas;NA;NA;p;04.aug;01.sep;4;03.jan;01.jan;4;0.952231535
595;21;CA;b;;;;;ric;Mean number of species per census point;dis;Live fence;pas;NA;NA;p;04.sep;02.sep;50;04.juni;01.juni;4;0.104058377
596;21;CA;b;;;;;ric;Mean number of species per census point;dis;Disturbed forest;pas;NA;NA;p;01.aug;0.4;4;jan.33;0.5;4;0.902657691
597;21;CA;b;;;;;abu;Mean number of birds per census point;pas;Pastures (25 ha, devoid of original forest vegetation);pas;NA;NA;p;15.mai;12.aug;50;17.mars;13.mai;4;-0.138139924
598;21;CA;b;;;;;ric;Mean number of species per census point;pas;Pastures (25 ha, devoid of original forest vegetation);pas;NA;NA;p;04.sep;02.sep;50;0.5;0.2;4;1.540121234
599;21;CA;b;;;;;abu;Mean number of birds per census point;sec;Young growth forest;pas;NA;NA;p;07.apr;04.juni;4;06.sep;4;4;0.100867048
600;21;CA;b;;;;;ric;Mean number of species per census point;sec;Young growth forest;pas;NA;NA;p;jan.89;0.5;4;feb.27;0.5;4;-0.660869565
601;21;CA;b;;;;;abu;Mean number of birds per census point;shd;Cacao agricultural plots (2-10 ha) with tall shade trees;pas;NA;NA;p;15.mai;12.aug;50;50.9;13.feb;4;-2.720566525
602;21;CA;b;;;;;abu;Mean number of birds per census point;shd;Coffee agricultural plots (2-10 ha) with tall shade trees;pas;NA;NA;p;15.mai;12.aug;50;41.9;03.apr;4;-2.089399083
603;21;CA;b;;;;;abu;Mean number of birds per census point;shd;Mixed agricultural plots (2-10 ha) with tall shade trees;pas;NA;NA;p;15.mai;12.aug;50;61.6;8;4;-3.613451947
604;21;CA;b;;;;;ric;Mean number of species per census point;shd;Cacao agricultural plots (2-10 ha) with tall shade trees;pas;NA;NA;p;04.sep;02.sep;50;04.aug;1;4;0.034881115
605;21;CA;b;;;;;ric;Mean number of species per census point;shd;Coffee agricultural plots (2-10 ha) with tall shade trees;pas;NA;NA;p;04.sep;02.sep;50;04.feb;01.juni;4;0.242802881
606;21;CA;b;;;;;ric;Mean number of species per census point;shd;Mixed agricultural plots (2-10 ha) with tall shade trees;pas;NA;NA;p;04.sep;02.sep;50;03.aug;0.7;4;0.38440136
607;22;SA;b;;;;;abu;Mean number of registers per site;shd;Actively managed plantations, with native shade trees;pla;2;0;p;1057.5;1123.592675;2;1480;1551.392278;2;-0.178243345
608;22;SA;b;;;;;ric;Mean number of species observed per site;shd;Actively managed plantations, with native shade trees;pla;2;0;p;108.5;43.13351365;2;130.5;79.90306627;2;-0.195796219
609;22;SA;m;bats;;b;;abu;Mean capture frequency per site;shd;Actively managed plantations, with native shade trees;pla;2;0;p;260;120.2081528;2;1194;169.7056275;2;-3.629366025
610;22;SA;m;bats;;b;;ric;Mean number of species observed per site;shd;Actively managed plantations, with native shade trees;pla;2;0;p;19;2.828427125;2;31;11.3137085;2;-0.831550714
611;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;07.aug;3.959797975;8;10;3.39411255;8;-0.56401919
612;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;01.sep;1.697056275;8;02.aug;1.414213562;8;-0.544738726
613;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;0.4;0.848528137;8;01.apr;1.979898987;8;-0.620721319
614;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;0.4;0.565685425;8;0.6;0.848528137;8;-0.262221911
615;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;0;0;8;0.1;0.282842712;8;-0.472727274
616;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;0;0;8;0.3;0.565685425;8;-0.709090909
617;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;0;0;8;0.3;0.565685425;8;-0.709090909
618;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;0;0;8;0.1;0.282842712;8;-0.472727274
619;23;SA;m;;;u;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;0;0;8;0.1;0.282842712;8;-0.472727274
620;23;SA;m;small mammals;;s;;abu;Mean number of individuals captured per plot (all captures and recaptures);bur;Disturbed forest (logged and burned);nat;NA;1;p;15.aug;5.091168825;8;23.sep;4.808326112;8;-1.546555252
621;23;SA;m;small mammals;;s;;abu;Mean number of individuals captured per plot (new captures);bur;Disturbed forest (logged and burned);nat;NA;1;p;10.aug;3.111269837;8;15.mai;5.091168825;8;-1.053242829
622;23;SA;m;small mammals;;s;;ric;Species richness (mean number of species captured per treatment);bur;Disturbed forest (logged and burned);nat;NA;1;p;3;1.13137085;8;4;1.13137085;8;-0.83567165
623;23;SA;a;;;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;144.9;41.86072145;8;105.9;23.75878785;8;1.083367958
624;23;SA;a;ants;h;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;83.6;32.52691193;8;51.1;20.3646753;8;1.132345401
625;23;SA;a;beetles;c;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;26.aug;7.636753237;8;21.jan;6.505382387;8;0.759705365
626;23;SA;a;grasshoppers;;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;03.juni;1.697056275;8;7;4.5254834;8;-0.940585219
627;23;SA;a;cockroaches;;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;06.apr;3.39411255;8;2;1.13137085;8;1.644384383
628;23;SA;a;scorpions;;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;01.juni;1.979898987;8;01.jan;1.13137085;8;0.293173009
629;23;SA;a;spiders;;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;14.apr;6.505382387;8;15;6.788225099;8;-0.085325879
630;23;SA;a;weevils;;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;jan.25;1.979898987;8;01.aug;3.959797975;8;-0.166107907
631;23;SA;a;lepidoptera larvae;l;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;0.75;0.848528137;8;02.mai;3.111269837;8;-0.72556618
632;23;SA;a;millipedes;;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;02.mai;1.697056275;8;2;0.848528137;8;0.352350106
633;23;SA;a;others;;;;abu;Mean number of individuals captured per plot;bur;Disturbed forest (logged and burned);nat;NA;1;p;4;7.071067812;8;02.mars;1.697056275;8;0.312578318
634;24;AS;p;fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;167;41;9;37;18;9;3.910316069
635;24;AS;p;Madhuca fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;16.mai;21.mars;9;02.sep;04.apr;9;0.842191946
636;24;AS;p;Artocarpus fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;11.sep;06.juni;9;01.sep;02.apr;9;1.917847915
637;24;AS;p;Dacryodes fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;11.apr;07.juli;9;02.mai;02.mai;9;1.480684352
638;24;AS;p;Syzigium fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;11.apr;7;9;03.jan;03.apr;9;1.436517291
639;24;AS;p;Baccaurea fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;08.jan;03.juli;9;0.6;01.jan;9;2.616940377
640;24;AS;p;Diospyros fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;07.aug;06.apr;9;03.mars;02.aug;9;0.867617497
641;24;AS;p;Santiria fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;06.jan;04.sep;9;0.6;01.jan;9;1.475080926
642;24;AS;p;Ficus fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;05.juni;03.sep;9;0.3;0.8;9;1.793027436
643;24;AS;p;Lithocarpus fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;04.juli;03.feb;9;0.8;01.aug;9;1.430689401
644;24;AS;p;Garcinia fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;03.juni;03.mars;9;0.8;01.aug;9;1.003258041
645;24;AS;p;Polyalthia fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;03.mars;02.mai;9;01.jan;01.aug;9;0.96186755
646;24;AS;p;Durio fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;02.mai;03.aug;9;0.6;01.jan;9;0.646877624
647;24;AS;p;Mangifera fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;0.6;01.juli;9;0.3;0.8;9;0.21505998
648;24;AS;p;Tetramerista fruit trees;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;0;0;9;0.6;01.jan;9;-0.734656396
649;24;AS;p;all sun bear fruit species combined;;;;abu;Density (trees/ha);bur;Burned forest;dis;NA;3;p;166.9;40.7;9;36.8;17.aug;9;3.944601505
650;24;AS;p;trees;;;;dem;Tree mortality;bur;Burned forest;dis;NA;3;d;24.sep;05.apr;9;77.5;10.aug;9;5.86722416
651;25;AS;b;;;;;ric;Mean species richness per census station (Buru);sec;Secondary forest;agr;NA;NA;p;apr.39;03.jan;6;apr.41;feb.55;6;-0.006618229
652;25;AS;b;;;;;ric;Mean species richness per census station (Buru);sel;Logged forest;agr;NA;NA;p;apr.39;03.jan;6;mai.28;03.juni;6;-0.270678943
653;25;AS;p;trees;;;;for;Basal area (m^3/km^2, Buru);sec;Secondary forest;agr;NA;NA;p;1123.8;901.4;6;354.6;312.5;6;1.05251659
654;25;AS;p;trees;;;;for;Canopy cover (Buru);sec;Secondary forest;agr;NA;NA;p;35.08;22.apr;6;31.02;17.96;6;0.186417381
655;25;AS;p;trees;;;;for;Habitat complexity (Buru);sec;Secondary forest;agr;NA;NA;p;jan.27;0.95;6;jan.81;01.sep;6;-0.487541039
656;25;AS;p;trees;;;;for;Mean tree girth (m, Buru);sec;Secondary forest;agr;NA;NA;p;01.sep;0.64;6;01.apr;0.39;6;0.8709048
657;25;AS;p;trees;;;;for;Mean tree height (m, Buru);sec;Secondary forest;agr;NA;NA;p;20.76;mars.84;6;19.91;mars.62;6;0.210261238
658;25;AS;p;trees;;;;for;Proportion of trees branching above half their height (Buru);sec;Secondary forest;agr;NA;NA;p;0.67;0.07;6;0.43;0.2;6;1.478566843
659;25;AS;p;trees;;;;for;Basal area (m^3/km^2, Buru);sel;Logged forest;agr;NA;1;p;1123.8;901.4;6;270.4;120.2;6;1.225069289
660;25;AS;p;trees;;;;for;Basal area (m^3/km^2, Buru);sel;Logged forest;agr;NA;5;p;1123.8;901.4;6;282.5;216.3;6;1.184757431
661;25;AS;p;trees;;;;for;Basal area (m^3/km^2, Buru);sel;Logged forest;agr;NA;12;p;1123.8;901.4;6;336.5;258.4;6;1.096040125
662;25;AS;p;trees;;;;for;Canopy cover (Buru);sel;Logged forest;agr;NA;1;p;35.08;22.apr;6;okt.34;juni.95;6;1.397513121
663;25;AS;p;trees;;;;for;Canopy cover (Buru);sel;Logged forest;agr;NA;5;p;35.08;22.apr;6;14.juli;okt.17;6;1.129928794
664;25;AS;p;trees;;;;for;Canopy cover (Buru);sel;Logged forest;agr;NA;12;p;35.08;22.apr;6;21.36;17.96;6;0.629962186
665;25;AS;p;trees;;;;for;Habitat complexity (Buru);sel;Logged forest;agr;NA;1;p;jan.27;0.95;6;0.57;0.93;6;0.687358814
666;25;AS;p;trees;;;;for;Habitat complexity (Buru);sel;Logged forest;agr;NA;5;p;jan.27;0.95;6;0.82;0.93;6;0.441873524
667;25;AS;p;trees;;;;for;Habitat complexity (Buru);sel;Logged forest;agr;NA;12;p;jan.27;0.95;6;jan.51;0.86;6;-0.24449182
668;25;AS;p;trees;;;;for;Mean tree girth (m, Buru);sel;Logged forest;agr;NA;1;p;01.sep;0.64;6;jan.49;0.31;6;0.752645157
669;25;AS;p;trees;;;;for;Mean tree girth (m, Buru);sel;Logged forest;agr;NA;5;p;01.sep;0.64;6;jan.45;0.37;6;0.794639817
670;25;AS;p;trees;;;;for;Mean tree girth (m, Buru);sel;Logged forest;agr;NA;12;p;01.sep;0.64;6;01.apr;0.42;6;0.852656462
671;25;AS;p;trees;;;;for;Mean tree height (m, Buru);sel;Logged forest;agr;NA;1;p;20.76;mars.84;6;19.76;feb.85;6;0.272984413
672;25;AS;p;trees;;;;for;Mean tree height (m, Buru);sel;Logged forest;agr;NA;5;p;20.76;mars.84;6;20.97;03.juni;6;-0.055831692
673;25;AS;p;trees;;;;for;Mean tree height (m, Buru);sel;Logged forest;agr;NA;12;p;20.76;mars.84;6;17.49;mars.98;6;0.771861363
674;25;AS;p;trees;;;;for;Proportion of trees branching above half their height (Buru);sel;Logged forest;agr;NA;1;p;0.67;0.07;6;0.58;0.12;6;0.84570081
675;25;AS;p;trees;;;;for;Proportion of trees branching above half their height (Buru);sel;Logged forest;agr;NA;5;p;0.67;0.07;6;0.65;0.13;6;0.176829468
676;25;AS;p;trees;;;;for;Proportion of trees branching above half their height (Buru);sel;Logged forest;agr;NA;12;p;0.67;0.07;6;0.22;0.23;6;2.443438914
677;25;AS;b;;;;;ric;Mean species richness per census station (Sumba);sec;Secondary forest;agr;NA;NA;p;juni.76;feb.32;6;07.mai;feb.68;6;-0.106800454
678;25;AS;p;trees;;;;for;Basal area (m^3/km^2, Sumba);sec;Secondary forest;agr;NA;NA;p;360.6;216.3;6;306.5;258.4;6;0.20957749
679;25;AS;p;trees;;;;for;Canopy cover (Sumba);sec;Secondary forest;agr;NA;NA;p;43.05;16.95;6;26.95;17.des;6;0.872401142
680;25;AS;p;trees;;;;for;Habitat complexity (Sumba);sec;Secondary forest;agr;NA;NA;p;02.juli;01.jan;6;2;jan.15;6;0.057421721
681;25;AS;p;trees;;;;for;Mean tree girth (m, Sumba);sec;Secondary forest;agr;NA;NA;p;01.des;0.23;6;01.juli;0.28;6;0.18013186
682;25;AS;p;trees;;;;for;Mean tree height (m, Sumba);sec;Secondary forest;agr;NA;NA;p;24.17;02.juli;6;19.27;apr.69;6;1.182001972
683;25;AS;p;trees;;;;for;Proportion of trees branching above half their height (Sumba);sec;Secondary forest;agr;NA;NA;p;0.71;0.27;6;0.39;0.24;6;1.156372125
684;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, individual-based, >10 cm dbh);agf;Forest gardens (patches of primary forest with gaps where understory trees had been removed by farmers and replaced by cacao and coffee trees);nat;NA;NA;p;122.7;42.4215747;3;66.05;23.94305745;4;1.462637524
685;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, individual-based, >5 cm dbh);agf;Forest gardens (patches of primary forest with gaps where understory trees had been removed by farmers and replaced by cacao and coffee trees);nat;NA;NA;p;96.03333333;22.36299026;3;55.575;50.7011752;4;0.816205632
686;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, plot based, >10 cm dbh);agf;Forest gardens (patches of primary forest with gaps where understory trees had been removed by farmers and replaced by cacao and coffee trees);nat;NA;NA;p;126.6333333;41.97348369;3;81.3;27.97510798;4;1.11403654
687;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, plot based, >5 cm dbh);agf;Forest gardens (patches of primary forest with gaps where understory trees had been removed by farmers and replaced by cacao and coffee trees);nat;NA;NA;p;109.7666667;29.90941881;3;50.825;37.40734108;4;1.434387451
688;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, individual-based, >10 cm dbh);sec;Secondary forest (small patches, closed canopy);nat;NA;5;p;122.7;42.4215747;3;21.96666667;7.750053763;3;2.642787194
689;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, individual-based, >5 cm dbh);sec;Secondary forest (small patches, closed canopy);nat;NA;5;p;96.03333333;22.36299026;3;26;4;3;3.487718705
690;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, plot based, >10 cm dbh);sec;Secondary forest (small patches, closed canopy);nat;NA;5;p;126.6333333;41.97348369;3;20.86666667;13.2364396;3;2.718889813
691;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, plot based, >5 cm dbh);sec;Secondary forest (small patches, closed canopy);nat;NA;5;p;109.7666667;29.90941881;3;45.1;23.12293234;3;1.935229041
692;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, individual-based, >10 cm dbh);shd;Cocoa plantations (completely cleared areas, but contains planted shade trees);nat;NA;0;p;122.7;42.4215747;3;01.apr;1.979898987;2;2.545543789
693;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, individual-based, >5 cm dbh);shd;Cocoa plantations (completely cleared areas, but contains planted shade trees);nat;NA;0;p;96.03333333;22.36299026;3;jan.55;2.192031022;2;3.75428799
694;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, plot based, >10 cm dbh);shd;Cocoa plantations (completely cleared areas, but contains planted shade trees);nat;NA;0;p;126.6333333;41.97348369;3;jan.45;2.050609665;2;2.654944445
695;26;AS;p;trees;;;;ric;Estimated species richness (Mmmeans richness estimator, plot based, >5 cm dbh);shd;Cocoa plantations (completely cleared areas, but contains planted shade trees);nat;NA;0;p;109.7666667;29.90941881;3;jan.45;2.050609665;2;3.22196253
696;27;CA;b;resident species;;;;ric;Mean rarefied species richness;agf;Allspice agroforestry systems;NA;NA;NA;p;55.42;50.21845891;6;51.97;81.80903823;6;0.046917348
697;27;CA;b;migrant species;;;;ric;Mean rarefied species richness;agf;Allspice agroforestry systems;NA;NA;NA;p;aug.16;12.86667972;6;13.13;40.76048912;6;-0.151790189
698;27;CA;b;resident species;;;;ric;Mean rarefied species richness;pas;Pasture;NA;NA;NA;p;55.42;50.21845891;6;28.89;153.2479167;6;0.214756608
699;27;CA;b;migrant species;;;;ric;Mean rarefied species richness;pas;Pasture;NA;NA;NA;p;aug.16;12.86667972;6;okt.25;28.61395938;6;-0.086962738
700;27;CA;b;resident species;;;;ric;Mean rarefied species richness;sec;Secondary forest (most of original canopy removed, shorter trees and denser understory compared to primary forest);NA;NA;NA;p;55.42;50.21845891;6;55.09;31.20477584;5;0.007045584
701;27;CA;b;migrant species;;;;ric;Mean rarefied species richness;sec;Secondary forest (most of original canopy removed, shorter trees and denser understory compared to primary forest);NA;NA;NA;p;aug.16;12.86667972;6;13.25;26.64677487;5;-0.230520044
702;27;CA;m;;;u;;ric;Mean rarefied species richness;agf;Allspice agroforestry systems;NA;NA;NA;p;18.51;14.934737;7;des.74;48.019328;7;0.151907638
703;27;CA;m;;;u;;ric;Mean rarefied species richness;pas;Pasture;NA;NA;NA;p;18.51;14.934737;7;03.mars;86.23773483;7;0.234167478
704;27;CA;m;;;u;;ric;Mean rarefied species richness;sec;Secondary forest (most of original canopy removed, shorter trees and denser understory compared to primary forest);NA;NA;NA;p;18.51;14.934737;7;des.81;38.45600917;6;0.188187562
705;28;AF;a;;;;;ric;Species richness;agr;Abandoned settlements (composed of mostly cultivated trees);agr;3;NA;p;54.5;09.apr;4;57;4;4;-0.300947078
706;28;AF;a;;;;;ric;Species richness;agr;C odorata (invasive) thicket (former farmland);agr;3;NA;p;54.5;09.apr;4;56.5;04.apr;4;-0.236973062
707;28;AF;a;;;;;ric;Species richness;pla;Young teak plantations (planted between 1985-1995);agr;3;NA;p;54.5;09.apr;4;40;12;4;1.169780765
708;28;AF;a;;;;;ric;Species richness;pla;Old teak plantations (planted between 1955-1965);agr;3;NA;p;54.5;09.apr;4;67;4;4;-1.50473539
709;28;AF;a;;;;;ric;Species richness;pla;Fuelwood plantations (planted between 1988-1996);agr;3;NA;p;54.5;09.apr;4;43;12;4;0.927757158
710;28;AF;a;;;;;ric;Species richness;sec;Secondary dry forest (on former slash-and-burn patches);agr;3;NA;p;54.5;09.apr;4;57.4;10.aug;4;-0.249079637
711;29;SA;b;insectivores, forest-interior species;;;f;abu;Average abundance;agr;Agricultural land;nat;NA;0;p;19.apr;03.feb;50;1;0.5;25;6.904774651
712;29;SA;b;insectivores, edge-tolerant species;;;g;abu;Average abundance;agr;Agricultural land;nat;NA;0;d;17.feb;01.juli;50;13.apr;03.juni;25;-1.510300142
713;29;SA;b;insectivores, open-land species;;;g;abu;Average abundance;agr;Agricultural land;nat;NA;0;d;01.apr;0.4;50;49.6;07.juli;25;10.77503033
714;29;SA;b;forest-interior species;;;f;abu;Average density;agr;Agricultural land;nat;NA;0;p;30.mai;4;50;02.juni;0.9;25;8.323163141
715;29;SA;b;edge-tolerant species;;;g;abu;Average density;agr;Agricultural land;nat;NA;0;d;57.1;05.mai;50;21.jan;04.aug;25;-6.747747386
716;29;SA;b;open-land species;;;g;abu;Average density;agr;Agricultural land;nat;NA;0;d;02.apr;0.6;50;71.8;09.apr;25;12.69077406
717;29;SA;b;frugivores;;;;abu;Average density;agr;Agricultural land;nat;NA;0;p;05.juli;1;50;02.feb;1;25;3.463917526
718;29;SA;b;omnivores;;;;abu;Average density;agr;Agricultural land;nat;NA;0;p;19.aug;03.juni;50;15.sep;04.feb;25;1.013679399
719;29;SA;b;nectarivores;;;;abu;Average density;agr;Agricultural land;nat;NA;0;p;69.2;16.jan;50;02.apr;0.9;25;5.008196656
720;29;SA;b;insectivores;;;;abu;Average density;agr;Agricultural land;nat;NA;0;p;32.7;02.aug;50;51.5;05.feb;25;-4.945877933
721;29;SA;b;;;;;ric;Average estimated species richness (9 estimators);agr;Agricultural land;nat;NA;0;p;111;8.831760866;50;99;4.795831523;25;1.534273506
722;29;SA;b;forest-interior species;;;f;ric;Average richness;agr;Agricultural land;nat;NA;0;p;34;5;50;9;2;25;5.816336558
723;29;SA;b;edge-tolerant species;;;g;ric;Average richness;agr;Agricultural land;nat;NA;0;p;68;9;50;42;6;25;3.162466103
724;29;SA;b;open-land species;;;g;ric;Average richness;agr;Agricultural land;nat;NA;0;p;9;3;50;47;4;25;-11.1871008
725;29;SA;b;frugivores;;;;ric;Average richness;agr;Agricultural land;nat;NA;0;p;15;4;50;8;2;25;1.995343326
726;29;SA;b;omnivores;;;;ric;Average richness;agr;Agricultural land;nat;NA;0;p;27;5;50;24;4;25;0.632417911
727;29;SA;b;nectarivores;;;;ric;Average richness;agr;Agricultural land;nat;NA;0;p;13;3;50;7;2;25;2.18939961
728;29;SA;b;insectivores;;;;ric;Average richness;agr;Agricultural land;nat;NA;0;p;56;8;50;50;4;25;0.85514714
729;29;SA;b;;;;;ric;Rarefacted (individual-based) species richness estimates;agr;Agricultural land;nat;NA;0;p;82;3;50;81;1;25;0.392133957
730;29;SA;b;;;;;ric;Rarefacted (sample-based) species richness estimates;agr;Agricultural land;nat;NA;0;p;80;5;50;82;6;25;-0.370017023
731;29;SA;b;insectivores, forest-interior species;;;f;abu;Average abundance;sec;Secondary forest;nat;NA;15;p;19.apr;03.feb;50;13.jan;01.aug;50;2.408050383
732;29;SA;b;insectivores, edge-tolerant species;;;g;abu;Average abundance;sec;Secondary forest;nat;NA;15;d;17.feb;01.juli;50;38.9;04.aug;50;5.980375333
733;29;SA;b;insectivores, open-land species;;;g;abu;Average abundance;sec;Secondary forest;nat;NA;15;d;01.apr;0.4;50;09.mars;01.aug;50;6.012534741
734;29;SA;b;forest-interior species;;;f;abu;Average density;sec;Secondary forest;nat;NA;15;p;30.mai;4;50;26.sep;02.juli;50;1.046857871
735;29;SA;b;edge-tolerant species;;;g;abu;Average density;sec;Secondary forest;nat;NA;15;d;57.1;05.mai;50;90.5;5;50;6.305946643
736;29;SA;b;open-land species;;;g;abu;Average density;sec;Secondary forest;nat;NA;15;d;02.apr;0.6;50;12.apr;01.sep;50;7.04327609
737;29;SA;b;frugivores;;;;abu;Average density;sec;Secondary forest;nat;NA;15;p;05.juli;1;50;12.mars;02.apr;50;-3.56238254
738;29;SA;b;omnivores;;;;abu;Average density;sec;Secondary forest;nat;NA;15;p;19.aug;03.juni;50;31.jan;03.juli;50;-3.07184857
