row.ID;study.ID;continent;taxon;taxon.specific;taxon.arthropod.order;taxon.mammal.group;taxon.forest.generalist;metric;metric.specific;disturbance;disturbance.specific;matrix;distance.p.d;time;effect.direction;p.mean;p.sd;p.n;d.mean;d.sd;d.n;hedges.g*
34;4;CA;p;tree saplings, medicinal use category;;;;com;Mean relative abundance;sec;second growth;NA;NA;15;d;0.35;0.08660254;3;0.49;0.067082039;5;1.641530108
35;4;CA;p;tree seedlings, medicinal use category;;;;com;Mean relative abundance;sec;second growth;NA;NA;15;d;0.51;0.069282032;3;0.53;0.156524758;5;0.129867849
36;4;CA;p;trees, timber use category;;;;com;Mean relative abundance;sec;second growth;NA;NA;15;p;0.21;0.051961524;3;0.36;0.04472136;5;-2.76004805
37;4;CA;p;tree saplings, timber use category;;;;com;Mean relative abundance;sec;second growth;NA;NA;15;d;0.08;0.017320508;3;0.13;0.04472136;5;1.148414215
38;4;CA;p;tree seedlings, timber use category;;;;com;Mean relative abundance;sec;second growth;NA;NA;15;d;0.2;0.051961524;3;0.17;0.067082039;5;-0.417725621
39;4;CA;p;tree seedlings <1 m dbh, firewood use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;8747.2;2053.692643;3;7114.1;1750.841226;5;0.764602919
40;4;CA;p;tree seedlings <1 m dbh, medicine use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;7293.1;2092.317376;3;6733.8;1950.96931;5;0.243271703
41;4;CA;p;tree seedlings <1 m dbh, construction use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;6510.1;2053.519437;3;3982.1;1250.63282;5;1.404885059
42;4;CA;p;tree seedlings <1 m dbh, food use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;3042.5;697.4968602;3;2774;700.3364906;5;0.333830697
43;4;CA;p;tree seedlings <1 m dbh, timber use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;2349;2131.115314;3;1588.4;1050.504736;5;0.440967621
44;4;CA;p;tree seedlings <1 m dbh, crafts use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;2304.3;387.4597657;3;1812.1;700.3364906;5;0.697043915
45;4;CA;p;tree seedlings <1 m dbh, thatch use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;1342.3;464.8824368;3;962;600.1606452;5;0.591881717
46;4;CA;p;tree seedlings <1 m dbh, dye and tannins use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;2170;968.7360167;3;1409.4;600.384252;5;0.889297831
